Category	Role
Performer	Bông Drum
Performer	Bongos
Performer	Bonko
Performer	Bonsuri
Performer	Bontempi
Performer	Boo Marimba
Performer	Boobams
Performer	Boomwhacker
Performer	Border Pipes
Performer	Borel
Performer	Bösendorfer Piano
Performer	Botija
Performer	Bottle
Performer	Bottleneck Guitar
Performer	Bougarabou Drums
Performer	Boula
Performer	Bouz
Performer	Bouzar / Gouzouki
Performer	Bouzouki
Performer	Bow Chime
Performer	Bowed Banjo
Performer	Bowed Bass
Performer	Bowed Bass Dulcimer
Performer	Bowed Cymbals
Performer	Bowed Diwan Saz
Performer	Bowed Double Bass
Performer	Bowed Dulcimer
Performer	Bowed Fiddle
Performer	Bowed Harp
Performer	Bowed Instrument
Performer	Bowed Lute
Performer	Bowed Lyre
Performer	Bowed Metal
Performer	Bowed Piano
Performer	Bowed Psaltery
Performer	Bowed Saw
Performer	Bowed String Instruments
Performer	Bowed Vibes
Performer	Bowed Vielle
Performer	Bowed Zither
Performer	Bowls
Performer	Box
Performer	Boy Alto
Performer	Boy Mezzo Soprano
Performer	Boy Soprano
Performer	Brac
Performer	Brač
Performer	Bracsa
Performer	Braguesa
Performer	Brake Drums
Performer	Brass
Performer	Brass Bass
Performer	Brass Drum
Performer	Brass Synth
Performer	Bratsch
Performer	Brazilian Percussion
Performer	Breakdown
Performer	Breath Controlled Synth
Performer	Breathing
Performer	Brekete
Performer	Bronze Lur
Performer	Bruits de Bouche
Performer	Brushes
Performer	Brushes Samples
Performer	Bubanj
Performer	Buccina
Performer	Buchel
Performer	Bucium
Performer	Buffo
Performer	Bugarabu
Performer	Bugarija
Performer	Bugle
Performer	Buhay
Performer	Buisine
Performer	Buk
Performer	Bul-bul
Performer	Bula
Performer	Bulbul Tarang
Performer	Bullhorn
Performer	Bullroar
Performer	Bullroarer
Performer	Bumbo
Performer	Bundt Pan
Performer	Bunkula
Performer	Button Accordion
Performer	Buzukie
Performer	Buzuq
Performer	Byzaanchi
Performer	Byzantine Lyra
Performer	C-Melody Saxophone
Performer	Cabasa
Performer	Cabassa
Performer	Cabelo
Performer	Cabrette
Performer	Cachichi
Performer	Cactus
Performer	Cadence
Performer	Cadenza
Performer	Cahones
Performer	Caisse Claire
Performer	Caixa
Performer	Caja
Performer	Caja Vallenata
Performer	Cajon
Performer	Cajón
Performer	Cajon Drums
Performer	Cajun Accordian
Performer	Cajun Fiddle
Performer	Cajun Triangle
Performer	Calabash
Performer	Calebasse
Performer	Calichon
Performer	Calimba
Performer	Calliope
Performer	Calto
Performer	Calung
Performer	Camapana
Performer	Campana
Performer	Campanelle
Performer	Campanillas
Performer	Campanula
Performer	Cana
Performer	Candido
Performer	Candombe Drum
Performer	Caneco
Performer	Canonaki
Performer	Cantatrice
Performer	Cante
Performer	Cantilena
Performer	Cantor
Performer	Canun
Performer	Capa
Performer	Caracaxa
Performer	Caracoles
Performer	Cardboard
Performer	Cardboard Box
Performer	Carillon
Performer	Carnyx
Performer	Carrilhao
Performer	Cartage
Performer	Casaba
Performer	Cascabeles
Performer	Cascara
Performer	Casinette
Performer	Casio
Performer	Casio MT-30
Performer	Cast
Performer	Castanets
Performer	Castrato
Performer	Cata
Performer	Cavaco
Performer	Cavaquinho
Performer	Caxambu
Performer	Caxixi
Performer	Cbass Sarrusophone
Performer	Cedar Flute
Performer	Celesta
Performer	Celeste
Performer	Celletto
Performer	Celli
Performer	Cello
Performer	Cello Banjo
Performer	Cello Maker
Performer	Cello Obligato
Performer	Cello Piccolo
Performer	Cello Samples
Performer	Cello Tambura
Performer	Čelo
Performer	Celtic Drum
Performer	Celtic Flute
Performer	Celtic Harp
Performer	Celtic Pipe
Performer	Cembalet
Performer	Cembalo
Performer	Cencerro
Performer	Ceng-ceng
Performer	Ceramic Drums
Performer	Ceterone
Performer	Cetra
Performer	Çevgen
Performer	Ch'in
Performer	Cha-Cha
Performer	Chab
Performer	Chacha
Performer	Chainsaw
Performer	Chak'chas
Performer	Chakchas
Performer	Chakeire
Performer	Chakhe
Performer	Chalemie
Performer	Chalil
Performer	Chalmers
Performer	Chalumeau
Performer	Chamber Organ
Performer	Chamberlin
Performer	Chande
Performer	Chang
